Date,Home,Away,Attendance,Venue
2017-05-21,North Carolina Courage,Chicago Red Stars,"4,786",WakeMed Soccer Park
2017-05-21,OL Reign,Orlando Pride,"4,037",UW Medicine Pitch at Memorial Stadium
2017-05-24,North Carolina Courage,NJ/NY Gotham FC,"2,383",WakeMed Soccer Park
2017-05-27,Houston Dash,OL Reign,"5,312",Shell Energy Stadium
2017-05-27,Chicago Red Stars,North Carolina Courage,"2,618",SeatGeek Stadium
2017-05-27,NJ/NY Gotham FC,Orlando Pride,"3,451",TBD
2017-05-27,FC Kansas City,Washington Spirit,"1,728",Mercy Victory Field
2017-05-27,Portland Thorns FC,Boston Breakers,"18,637",Providence Park
2017-06-03,North Carolina Courage,FC Kansas City,"3,717",WakeMed Soccer Park
2017-06-03,Washington Spirit,Houston Dash,"3,096",Maureen Hendricks Field Maryland SoccerPlex
2017-06-03,NJ/NY Gotham FC,Portland Thorns FC,"2,418",TBD
2017-06-03,Orlando Pride,Boston Breakers,"5,185",Inter&Co Stadium
2017-06-04,Chicago Red Stars,OL Reign,"3,147",SeatGeek Stadium
2017-06-17,Chicago Red Stars,Washington Spirit,"3,189",SeatGeek Stadium
2017-06-17,North Carolina Courage,Boston Breakers,"3,780",WakeMed Soccer Park
2017-06-17,FC Kansas City,OL Reign,"1,891",Mercy Victory Field
2017-06-17,Houston Dash,Orlando Pride,"5,918",Shell Energy Stadium
2017-06-17,Portland Thorns FC,NJ/NY Gotham FC,"16,736",Providence Park
2017-06-24,Orlando Pride,Houston Dash,"5,497",Inter&Co Stadium
2017-06-24,Boston Breakers,North Carolina Courage,"3,209",Jordan Field
2017-06-24,Washington Spirit,Portland Thorns FC,"4,319",Maureen Hendricks Field Maryland SoccerPlex
2017-06-24,OL Reign,FC Kansas City,"3,919",UW Medicine Pitch at Memorial Stadium
2017-06-25,Chicago Red Stars,NJ/NY Gotham FC,"3,720",SeatGeek Stadium
2017-06-28,NJ/NY Gotham FC,Orlando Pride,"3,065",TBD
2017-06-28,Houston Dash,Boston Breakers,"6,095",Shell Energy Stadium
2017-06-28,Portland Thorns FC,FC Kansas City,"16,199",Providence Park
2017-06-28,OL Reign,Chicago Red Stars,"3,586",UW Medicine Pitch at Memorial Stadium
2017-07-01,North Carolina Courage,NJ/NY Gotham FC,"3,056",WakeMed Soccer Park
2017-07-01,Boston Breakers,Washington Spirit,"2,523",Jordan Field
2017-07-01,Orlando Pride,Chicago Red Stars,"5,476",Inter&Co Stadium
2017-07-01,OL Reign,Portland Thorns FC,"4,270",UW Medicine Pitch at Memorial Stadium
2017-07-02,FC Kansas City,Houston Dash,"1,703",Mercy Victory Field
2017-07-07,Boston Breakers,Chicago Red Stars,"2,435",Jordan Field
2017-07-08,Washington Spirit,Orlando Pride,"5,200",Maureen Hendricks Field Maryland SoccerPlex
2017-07-08,NJ/NY Gotham FC,FC Kansas City,"2,091",TBD
2017-07-08,North Carolina Courage,OL Reign,"3,565",WakeMed Soccer Park
2017-07-08,Houston Dash,Portland Thorns FC,"3,869",Shell Energy Stadium
2017-07-15,Portland Thorns FC,North Carolina Courage,"16,804",Providence Park
2017-07-15,NJ/NY Gotham FC,Chicago Red Stars,"2,529",TBD
2017-07-15,Orlando Pride,FC Kansas City,"6,073",Inter&Co Stadium
2017-07-15,Houston Dash,Washington Spirit,"3,332",Shell Energy Stadium
2017-07-15,OL Reign,Boston Breakers,"3,730",UW Medicine Pitch at Memorial Stadium
2017-07-22,Chicago Red Stars,Orlando Pride,"4,742",SeatGeek Stadium
2017-07-22,Houston Dash,Boston Breakers,"5,337",Shell Energy Stadium
2017-07-22,OL Reign,NJ/NY Gotham FC,"4,464",UW Medicine Pitch at Memorial Stadium
2017-07-22,Portland Thorns FC,Washington Spirit,"18,478",Providence Park
2017-08-04,Boston Breakers,FC Kansas City,"2,510",Jordan Field
2017-08-04,NJ/NY Gotham FC,Washington Spirit,"2,496",TBD
2017-08-05,Portland Thorns FC,Houston Dash,"18,243",Providence Park
2017-08-05,North Carolina Courage,OL Reign,"5,249",WakeMed Soccer Park
2017-08-05,Orlando Pride,Chicago Red Stars,"5,667",Inter&Co Stadium
2017-08-08,Orlando Pride,Washington Spirit,"4,273",Inter&Co Stadium
2017-08-10,FC Kansas City,North Carolina Courage,"1,398",Mercy Victory Field
2017-08-12,Washington Spirit,Boston Breakers,"3,722",Maureen Hendricks Field Maryland SoccerPlex
2017-08-12,Orlando Pride,NJ/NY Gotham FC,"5,243",Inter&Co Stadium
2017-08-12,Chicago Red Stars,Portland Thorns FC,"4,934",SeatGeek Stadium
2017-08-13,Houston Dash,FC Kansas City,"4,352",Shell Energy Stadium
2017-08-13,OL Reign,North Carolina Courage,"4,156",UW Medicine Pitch at Memorial Stadium
2017-08-16,Boston Breakers,Houston Dash,"3,003",Jordan Field
2017-08-16,Chicago Red Stars,OL Reign,"2,876",SeatGeek Stadium
2017-08-16,FC Kansas City,Portland Thorns FC,428,Mercy Victory Field
2017-08-19,North Carolina Courage,Washington Spirit,"3,530",WakeMed Soccer Park
2017-08-19,Boston Breakers,Orlando Pride,"4,321",Jordan Field
2017-08-19,NJ/NY Gotham FC,OL Reign,"3,325",TBD
2017-08-19,Portland Thorns FC,Houston Dash,"19,672",Providence Park
